# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
七彩戏剧,http://z.b.bkpcp.top/m.php?id=qcxj
东方影视,http://z.b.bkpcp.top/m.php?id=shys
劲爆体育,http://z.b.bkpcp.top/m.php?id=jbty
魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
https://aktv.top/live.txt
美亚电影台,https://iptv.vip-tptv.xyz/tv.php?id=1
天映,https://iptv.vip-tptv.xyz/tv.php?id=2
纬来电影台,https://iptv.vip-tptv.xyz/tv.php?id=3
东森电影台,https://iptv.vip-tptv.xyz/tv.php?id=4
东森洋片台,https://iptv.vip-tptv.xyz/tv.php?id=5
纬来日本台,https://iptv.vip-tptv.xyz/tv.php?id=6
纬来体育台,https://iptv.vip-tptv.xyz/tv.php?id=7
东森幼幼台,https://iptv.vip-tptv.xyz/tv.php?id=8
爱尔达影剧台,https://iptv.vip-tptv.xyz/tv.php?id=9
ELTA影剧,https://iptv.vip-tptv.xyz/tv.php?id=10
天映频道A,https://iptv.vip-tptv.xyz/tv.php?id=11
ASTROQUANJIA,https://iptv.vip-tptv.xyz/tv.php?id=12
TVB星河,https://iptv.vip-tptv.xyz/tv.php?id=14
TVB星河,https://iptv.vip-tptv.xyz/tv.php?id=21
